Energy_Regular,Energy_Remix,Track_Name_edited
0.675,0.916,i don't care 
0.648,0.919,beautiful people 
0.642,0.903,post malone 
0.787,0.923,cross me 
0.768,0.774,hate me 
0.645,0.915,sos 
0.723,0.78,summer days 
0.621,0.835,south of the border 
0.52,0.557,dancing with a stranger 
0.859,0.913,all around the world 
0.738,0.818,don't leave me alone 
0.443,0.85,slow dance 
0.666,0.889,do you mean 
0.758,0.905,close to me 
0.856,0.831,love me less 
0.594,0.81,good things fall apart 
0.525,0.859,heaven can wait 
0.768,0.697,promises 
0.758,0.84,loco contigo 
0.459,0.955,trampoline 
0.797,0.995,stay 
0.828,0.801,safety 
0.818,0.838,spicy 
0.733,0.783,treehouse 
0.621,0.858,south of the border 
0.745,0.624,say my name 
0.758,0.839,close to me 
0.66,0.726,woke up late 
0.621,0.766,south of the border 
0.705,0.684,carry on 
0.867,0.818,talk 
0.806,0.879,can we pretend 
0.864,0.78,i miss myself 
0.714,0.95,mama 
0.625,0.83,there's no way 
0.66,0.726,woke up late 
0.728,0.523,speechless 
0.758,0.839,close to me 
0.673,0.911,kids in love 
0.887,0.88,giant 
0.859,0.93,summer lover 
0.729,0.928,late night feelings 
0.703,0.833,no new friends 
0.862,0.752,one kiss 
0.758,0.694,loco contigo 
0.944,0.951,
0.716,0.925,sad 
0.651,0.631,hot 
0.443,0.85,slow dance 
0.65,0.772,habits 
0.494,0.663,she will be loved 
0.688,0.877,intoxicated 
0.802,0.815,despacito 
0.329,0.832,how you've been 
0.388,0.777,shots 
0.809,0.889,lean on 
0.494,0.663,she will be loved 
0.373,0.792,pompeii 
0.787,0.652,titanium 
0.91,0.862,quedate feat. louisafer 
0.521,0.834,the nights 
0.748,0.487,heroes 
0.545,0.519,i bet my life 
0.388,0.794,shots 
0.745,0.688,say my name 
0.831,0.753,it's you 
0.65,0.686,habits 
0.564,0.695,good thing 
0.9,0.807,millionaire 
0.715,0.581,working for it 
0.651,0.631,hot 
0.85,0.843,california love 
0.758,0.694,loco contigo 
0.746,0.731,trumpets 
0.85,0.841,california love 
0.651,0.631,hot 
0.523,0.572,gan
0.856,0.876,love me less 
0.524,0.821,closer 
0.805,0.867,runaway 
0.798,0.725,cold water 
0.809,0.707,lean on 
0.811,0.896,secrets 
0.748,0.483,heroes 
0.929,0.956,sweet nothing 
0.918,0.848,you 
0.82,0.782,it's all on u 
0.739,0.576,limelight 
0.651,0.631,hot 
0.651,0.651,killer queen 
0.404,0.404,bohemian rhapsody 
0.346,0.483,nights in white satin 
0.45,0.429,starman 
0.651,0.65,killer queen 
0.92,0.841,won't get fooled again 
0.404,0.402,bohemian rhapsody 
0.376,0.36,come together 
0.346,0.483,nights in white satin 
0.651,0.64,killer queen 
0.404,0.402,bohemian rhapsody 
0.589,0.812,enjoy the silence 
0.691,0.668,baba o'riley 
0.751,0.704,break on through 
0.82,0.764,heatwave 
0.855,0.77,freak 
