track_artist,speechiness_x,speechiness_y
Ed Sheeran,0.0583,0.0442
Ed Sheeran,0.127,0.187
Sam Feldt,0.0434,0.122
Ed Sheeran,0.181,0.12
Ellie Goulding,0.0554,0.0507
Avicii,0.0625,0.0715
Martin Garrix,0.0594,0.0566
Ed Sheeran,0.0896,0.0824
Sam Smith,0.0542,0.0656
R3HAB,0.0348,0.033
David Guetta,0.128,0.0477
AJ Mitchell,0.0444,0.0386
The Chainsmokers,0.0352,0.0394
Ellie Goulding,0.0511,0.0621
MAX,0.115,0.0929
ILLENIUM,0.0522,0.0318
Sia,0.0636,0.0817
Calvin Harris,0.0372,0.0394
DJ Snake,0.0373,0.218
SHAED,0.102,0.0334
David Guetta,0.0487,0.0624
GASHI,0.0301,0.0356
Herve Pagez,0.0763,0.0533
James Arthur,0.154,0.0368
Ed Sheeran,0.0404,0.0824
ODESZA,0.0451,0.0479
Ellie Goulding,0.0335,0.0621
Drax Project,0.0978,0.083
Ed Sheeran,0.0658,0.0824
Kygo,0.09,0.079
Khalid,0.05,0.204
P!nk,0.177,0.406
NOTD,0.244,0.208
Clean Bandit,0.0809,0.0367
Lauv,0.036,0.0896
Drax Project,0.0978,0.083
Robin Schulz,0.0796,0.062
Ellie Goulding,0.0335,0.0621
Kygo,0.0645,0.0348
Calvin Harris,0.245,0.0361
Oliver Heldens,0.137,0.0281
Mark Ronson,0.113,0.0573
Sia,0.0657,0.0466
Calvin Harris,0.065,0.11
DJ Snake,0.0729,0.218
Britney Spears,0.0375,0.0342
Chico Rose,0.0666,0.0432
Young Thug,0.216,0.235
AJ Mitchell,0.0444,0.0386
Tove Lo,0.0356,0.0315
Maroon 5,0.0281,0.0313
Martin Solveig,0.0609,0.0386
Luis Fonsi,0.12,0.148
R3HAB,0.0403,0.0352
Imagine Dragons,0.0347,0.0301
Major Lazer,0.126,0.0625
Maroon 5,0.0281,0.0313
Bastille,0.043,0.0452
David Guetta,0.0461,0.103
Cesar Vilo,0.0403,0.0333
Avicii,0.0305,0.0697
Alesso,0.0325,0.0619
Imagine Dragons,0.279,0.0444
Imagine Dragons,0.0365,0.0301
ODESZA,0.0335,0.0479
Syn Cole,0.0375,0.0523
Tove Lo,0.0366,0.0315
Zedd,0.0382,0.0378
Cash Cash,0.0545,0.136
ZHU,0.0557,0.0505
Young Thug,0.216,0.235
2Pac,0.0767,0.0417
DJ Snake,0.0729,0.218
Sak Noel,0.317,0.298
2Pac,0.0465,0.0417
Young Thug,0.216,0.235
Bryant Myers,0.415,0.419
MAX,0.132,0.0929
The Chainsmokers,0.0444,0.0338
Galantis,0.0543,0.0469
Major Lazer,0.098,0.0432
Major Lazer,0.0512,0.0625
Tiësto,0.0469,0.043
Alesso,0.0318,0.0619
Calvin Harris,0.06,0.109
Galantis,0.0486,0.054
ILLENIUM,0.0485,0.0644
Just A Gent,0.0446,0.0742
Young Thug,0.216,0.235
Queen,0.0544,0.0544
Queen,0.0499,0.0499
The Moody Blues,0.03,0.0299
David Bowie,0.0333,0.0267
Queen,0.0554,0.0544
The Who,0.045,0.0566
Queen,0.0536,0.0499
The Beatles,0.0408,0.0393
The Moody Blues,0.03,0.0299
Queen,0.0472,0.0544
Queen,0.0536,0.0499
Depeche Mode,0.0293,0.032
The Who,0.0376,0.0349
The Doors,0.0573,0.0472
Robin Schulz,0.0368,0.063
R3HAB,0.125,0.236
Juanes,0.0492,0.226
Ed Sheeran,0.0562,0.187
Ellie Goulding,0.0335,0.0621
Khalid,0.05,0.204
Charlie Puth,0.0351,0.0363
Imagine Dragons,0.0347,0.0301
Major Lazer,0.0381,0.0432
Imagine Dragons,0.28,0.0444
filous,0.0488,0.045
Flume,0.0549,0.0295
ODESZA,0.0653,0.0479
Flume,0.0549,0.0295
Major Lazer,0.0713,0.0713
Dalex,0.311,0.0688
!deladap,0.0878,0.107
The Black Eyed Peas,0.0602,0.0657
Young Thug,0.216,0.235
Wolfgang Lohr,0.0449,0.163
Dalex,0.311,0.0688
DJ Snake,0.0729,0.218
Bryant Myers,0.415,0.419
Luis Fonsi,0.167,0.148
Reykon,0.0495,0.0448
The Black Eyed Peas,0.0602,0.0657
Young Thug,0.216,0.235
CNCO,0.11,0.0502
Camila Cabello,0.0321,0.03
Dalex,0.311,0.0688
DJ Snake,0.0729,0.218
Carlos Herrera Music,0.0792,0.0373
Young Thug,0.216,0.235
Dalex,0.311,0.0688
The Black Eyed Peas,0.0602,0.0657
Young Thug,0.216,0.235
Luis Fonsi,0.167,0.148
Bobby Brown,0.069,0.0518
Bobby Brown,0.132,0.0518
Ralph Tresvant,0.0452,0.0547
D'Angelo,0.166,0.177
Bobby Brown,0.0381,0.0412
Janet Jackson,0.0357,0.036
Aaliyah,0.0957,0.0311
Gallant,0.342,0.275
D'Angelo,0.166,0.177
Martin Garrix,0.0795,0.0412
Calvin Harris,0.0372,0.0394
Kid Cudi,0.0556,0.0386
Calvin Harris,0.065,0.11
Flume,0.0549,0.0295
Zedd,0.175,0.0378
Marnik,0.0378,0.0388
Armin van Buuren,0.088,0.0597
Lucas & Steve,0.0354,0.0989
Ed Sheeran,0.127,0.187
Galantis,0.0735,0.0489
Martin Garrix,0.0582,0.0375
Drenchill,0.101,0.199
Martin Garrix,0.0589,0.0326
QUIX,0.152,0.127
Sam Feldt,0.0564,0.122
DJ Snake,0.0373,0.218
KSHMR,0.391,0.224
!deladap,0.0878,0.107
Wolfgang Lohr,0.0449,0.163
AJ Mitchell,0.0444,0.0386
Herve Pagez,0.0817,0.0533
James Arthur,0.154,0.0368
Martin Garrix,0.0594,0.0566
Kygo,0.09,0.079
K-391,0.161,0.246
Kygo,0.0645,0.0348
Kygo,0.169,0.117
Martin Garrix,0.0396,0.0353
Sander van Doorn,0.0715,0.0412
Major Lazer,0.126,0.0625
K-391,0.34,0.246
Alan Walker,0.0698,0.0581
Dimitri Vegas & Like Mike,0.059,0.0313
Martin Garrix,0.0443,0.0569
Depeche Mode,0.0944,0.0366
Hardwell,0.0848,0.0867
Martin Garrix,0.0386,0.0353
John Christian,0.127,0.176
Showtek,0.133,0.0626
Firebeatz,0.0545,0.0902
DVBBS,0.0566,0.0421
Galantis,0.181,0.054
Ummet Ozcan,0.0444,0.0433
Sigala,0.0521,0.0576
Calvin Harris,0.0425,0.0337
Dimitri Vegas & Like Mike,0.042,0.0372
Dimitri Vegas & Like Mike,0.037,0.0372
W&W,0.0935,0.129
Sander van Doorn,0.0737,0.0412
Showtek,0.133,0.0626
Jay Hardway,0.0521,0.061
Martin Garrix,0.0452,0.0353
Gryffin,0.117,0.0337
Martin Garrix,0.0589,0.0326
Ed Sheeran,0.0562,0.187
Marnik,0.0378,0.0388
Galantis,0.0735,0.0489
Zedd,0.175,0.0378
Lucas & Steve,0.0354,0.0989
Trobi,0.0554,0.0584
J Balvin,0.0719,0.0818
The Black Eyed Peas,0.0887,0.0657
Famba,0.0483,0.101
BTS,0.313,0.425
AJ Mitchell,0.0444,0.0386
Hardwell,0.0388,0.053
R3HAB,0.0615,0.033
Knife Party,0.0764,0.04
Alpharock,0.0736,0.054
Armin van Buuren,0.0883,0.0308
Sander van Doorn,0.0715,0.0412
twoloud,0.0913,0.116
Martin Garrix,0.0398,0.04
Maor Levi,0.061,0.0602
Dillon Francis,0.138,0.0451
Thomas Gold,0.0352,0.0459
Hardwell,0.0321,0.0351
Hardwell,0.0671,0.0867
Firebeatz,0.0451,0.0451
David Guetta,0.0418,0.0387
Showtek,0.137,0.0626
Dimitri Vegas & Like Mike,0.0364,0.0367
Flo Rida,0.169,0.0734
W&W,0.0388,0.0345
Jack Ü,0.0424,0.0567
Nicky Romero,0.066,0.0447
Galantis,0.0742,0.0469
Hardwell,0.0572,0.0468
Clean Bandit,0.0809,0.0367
ODESZA,0.0617,0.0479
Jack Ü,0.0424,0.0567
Mike Posner,0.0511,0.0451
Madcon,0.0695,0.114
Martin Garrix,0.0589,0.0326
Zedd,0.175,0.0378
The Chainsmokers,0.0727,0.042
Ed Sheeran,0.0896,0.0824
Ed Sheeran,0.127,0.187
Ellie Goulding,0.0554,0.0507
P!nk,0.177,0.406
Martin Garrix,0.0594,0.0566
Ed Sheeran,0.0583,0.0442
Mark Ronson,0.225,0.0671
Sam Smith,0.0542,0.0656
Galantis,0.0627,0.0377
Ellie Goulding,0.0335,0.0621
The Chainsmokers,0.0803,0.0432
Bebe Rexha,0.0325,0.035
Loud Luxury,0.0556,0.038
David Guetta,0.0903,0.0477
Calvin Harris,0.0699,0.11
Clean Bandit,0.211,0.0437
NOTD,0.0436,0.0563
Avicii,0.0461,0.0428
Avicii,0.0652,0.0611
Clean Bandit,0.0733,0.0456
ZAYN,0.0851,0.039
Alan Walker,0.0641,0.0581
The Chainsmokers,0.0417,0.0338
Jason Derulo,0.0895,0.109
KSHMR,0.391,0.224
Galantis,0.118,0.0828
Wolfgang Lohr,0.0449,0.163
Sam Feldt,0.0564,0.122
DJ Snake,0.0373,0.218
Rihanna,0.0455,0.332
Zedd,0.0272,0.0411
Alesso,0.0415,0.0619
David Guetta,0.0461,0.103
gnash,0.07,0.235
Major Lazer,0.0381,0.0432
The Chainsmokers,0.0417,0.0338
ZHU,0.0557,0.0505
Clean Bandit,0.0486,0.0428
Jason Derulo,0.39,0.109
Dalex,0.311,0.0688
GASHI,0.147,0.0356
Noah Cyrus,0.088,0.0577
ILLENIUM,0.0485,0.0644
Flume,0.0549,0.0295
Cash Cash,0.102,0.0594
Flume,0.0549,0.0295
Tove Lo,0.0366,0.0315
